psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100009,1,1,21314,1,47,3,3,S,1, ,1,1,4,4,4,2,2,1,2,1,2,1,4,1, ,1,2,1, , ,3,2,1,1,55,4,2,1,8,4,1,1, ,3, , , ,37412,2.96666666666667,.909034325129587
100019,1,1,21314,1,1,3,2,S,1, ,1,2,2,8,1,3,8,3,3,2,1,2,2,1, ,1,2,1, , ,1,2,2,2,67,5,2,1,6,3,1,1, ,3, , , ,36582,1.13333333333333,.347271539937145
100021,1,2,21314,1,17,2,1,R, ,2,2,2,2,3,3,8,1,1,1,1,1,1,98,9, , ,5,1, , ,2,3,2,1,58,3,2,1,6,3,1,2, ,5, , , ,61376,2.16666666666667,.663901473409249
100033,1,2,21714,1,24,3,4,S, ,2,3,2,4,4,4,8,2,2,1,1,2,1,98,2, ,2,1,1, , ,1,3,2,1,84,6,2,1,6,3,1,3,2,3, , , ,21093,1,.306416064650422
100034,1,1,21314,1,37,3,4,U,8, ,5,5,3,4,4,2,8,2,3,1,1,2,2,12, , ,3,1, , ,9,1,2,1,41,6,2,1,99,9,1,4,9,2, , , ,27616,2.83333333333333,.868178849842864
100036,1,1,21314,1,27,2,3,S,2, ,2,2,4,4,3,2,2,2,1,2,1,1,98,12, , ,5,1, , ,1,3,2,2,51,1,2,1,1,1,1,2, ,9, , , ,55118,3.23333333333333,.990745275703033
100045,1,2,21714,1,27,2,5,U, ,8,1,2,3,4,3,2,3,3,2,2,2,2,98,1, ,1,2,1, , ,3,2,2,2,55,5,2,2,5,2,1,4,1,2, , , ,55108,3.93333333333333,1.20523652095833
100050,1,1,21314,1,12,3,2,S,1, ,4,4,4,4,4,2,2,2,2,2,2,2,2,1, ,1,1,1, , ,2,3,2,2,66,3,2,1,2,1,1,4,1,3, , , ,32034,2.43333333333333,.745612423982695
100052,1,2,21314,1,25,1,4,S, ,2,3,8,3,3,3,8,8,8,2,8,1,2,5,1, ,2,5,1, , ,1,3,2,2,80,6,2,1,99,9,1,1, ,3, , , ,02149,1,.306416064650422
100055,1,2,21314,1,18,2,3,U, ,8,4,3,3,4,4,2,2,2,2,2,1,2,4,2, ,2,4,1, , ,1,1,2,1,49,6,1,1,3,1,1,3,2,3, , , ,46545,1,.306416064650422
