company,fuel,number,ob fuel,wl fuel,gap fuel,ob co2,wl co2,gap co2
KIA,PETROL,1025,6.39,5.56,0.82,145.5,126.76,18.74
SKODA,PETROL,2494,7.29,6.13,1.16,166.07,139.6,26.47
HYUNDAI CZECH,PETROL,1592,7.22,6.26,0.95,164.36,142.64,21.72
TOYOTA,PETROL,6338,5.6,4.99,0.61,127.52,113.59,13.93
MERCEDES-BENZ AG,PETROL,29995,10.53,8.46,2.07,239.83,192.71,47.13
VOLVO,DIESEL,18674,7.28,6.23,1.05,191.48,163.86,27.62
AUTOMOBILES CITROEN,PETROL,2457,6.49,5.63,0.87,147.95,128.15,19.79
FIAT GROUP,DIESEL,6470,5.85,4.93,0.92,153.96,129.74,24.22
AUDI SPORT,PETROL,464,14.44,11.54,2.91,329,262.82,66.18
ROLLS ROYCE,PETROL,20,18.79,15.97,2.82,428.1,363.85,64.25
VOLVO,DIESEL/ELECTRIC,1,10.47,1.82,8.65,275.52,48,227.52
RENAULT,PETROL,28846,7.48,5.72,1.76,170.42,130.35,40.07
BMW AG,PETROL/ELECTRIC,7521,6.73,1.65,5.08,153.29,37.51,115.78
BMW GMBH,PETROL,1519,14.76,11.17,3.59,336.28,254.47,81.81
PORSCHE,PETROL/ELECTRIC,1210,10.79,3.03,7.76,245.71,69.02,176.69
SEAT,DIESEL,1495,6.57,5.3,1.26,172.79,139.55,33.23
TOYOTA,DIESEL,8,10.73,9.34,1.38,282.18,245.75,36.43
DACIA,DIESEL,833,5.81,4.89,0.92,152.74,128.59,24.15
FIAT GROUP,PETROL,15126,7.01,5.85,1.17,159.72,133.18,26.55
ALFA ROMEO,DIESEL,1751,7.42,5.85,1.57,195.11,153.86,41.25
NISSAN AUTOMOTIVE EUROPE,PETROL,6872,7.76,6.15,1.61,176.77,140.13,36.64
TOYOTA MOTOR CORPORATION,PETROL,52,5.37,4.8,0.57,122.26,109.25,13.01
VOLVO,PETROL,8988,8.47,7.24,1.23,192.86,164.89,27.97
FORD WERKE GMBH,PETROL/ELECTRIC,19819,4.72,1.56,3.16,107.55,35.5,72.06
KIA SLOVAKIA,PETROL,1391,8.01,6.69,1.32,182.4,152.36,30.04
AUTOMOBILES PEUGEOT,PETROL,1817,7.37,6.17,1.2,167.96,140.6,27.35
CHRYSLER,PETROL,2216,8.46,6.89,1.57,192.73,156.96,35.77
PSA,PETROL,8357,6.8,5.68,1.12,155,129.41,25.59
JAGUAR LAND ROVER LIMITED,DIESEL,19663,8.41,7.1,1.31,221.34,186.84,34.5
AUDI HUNGARIA,PETROL,34,9.13,7.47,1.65,207.88,170.26,37.61
